"ID","DATA_PRODUKCJI","CENA","KOSZT","ID_ZAMOWIENIE","ID_PRODUCENT","ID_ODDZIAL","ID_INSTRUMENT"
440,08/06/13,770,700,263,23,15,6
441,06/08/26,410,380,112,20,37,62
442,02/05/15,1770,1610,163,6,10,3
443,00/02/26,2040,1860,136,20,21,53
444,00/01/13,190,180,80,5,42,41
445,00/08/20,2120,1930,70,30,39,42
446,06/08/06,1870,1700,191,8,32,62
447,03/04/21,2050,1870,331,42,13,69
448,03/01/24,970,890,291,16,11,60
449,09/06/12,1480,1350,11,13,14,55
450,01/11/16,2270,2070,191,48,23,39
451,07/11/06,2000,1820,183,5,46,4
452,07/11/17,1870,1700,132,38,14,52
453,06/02/05,1910,1740,354,19,26,22
454,04/01/24,1610,1470,214,36,21,44
455,06/06/24,1260,1150,384,45,8,36
456,01/11/09,60,60,343,24,13,6
457,08/10/19,940,860,145,44,27,19
458,09/11/06,1870,1700,234,33,50,47
459,05/11/01,2100,1910,153,7,10,68
460,08/08/03,1320,1200,368,4,4,40
461,02/12/28,2230,2030,379,37,29,3
462,08/09/23,730,670,125,46,41,37
463,09/11/09,1960,1790,360,23,38,52
464,01/08/05,560,510,67,11,36,72
465,08/08/09,2170,1980,99,1,19,28
466,05/10/19,1790,1630,149,25,50,47
467,01/09/09,2040,1860,399,47,30,60
468,03/04/23,420,390,340,41,9,32
469,03/12/28,2160,1970,94,42,10,20
470,06/03/25,1770,1610,180,18,35,64
471,08/03/04,400,370,323,3,19,20
472,00/11/06,1150,1050,199,30,1,54
473,06/05/05,140,130,129,48,28,33
474,01/08/10,2000,1820,175,22,48,39
475,00/02/27,160,150,25,39,11,52
476,01/07/10,1870,1700,255,43,31,40
477,06/06/07,120,110,174,36,7,12
478,08/01/01,190,180,90,31,16,2
479,05/05/02,170,160,3,29,48,48
480,07/04/06,1150,1050,210,35,5,68
481,02/09/11,1540,1400,346,11,45,50
482,10/09/27,20,20,41,37,29,51
483,00/05/08,1260,1150,118,46,34,8
484,07/04/06,2140,1950,50,10,1,64
485,06/03/24,860,790,281,13,32,65
486,09/12/07,2180,1990,208,37,47,32
487,10/06/09,2010,1830,54,18,48,28
488,02/05/23,820,750,308,14,36,14
489,05/08/15,2290,2090,191,46,35,51
490,02/08/14,2020,1840,34,26,1,24
491,10/03/18,1770,1610,262,23,24,64
492,08/07/21,450,410,268,4,2,57
493,07/11/28,1290,1180,319,26,11,55
494,09/11/28,1730,1580,373,8,33,6
495,04/01/03,280,260,44,15,34,76
496,09/04/11,80,80,47,32,13,21
497,04/05/21,510,470,31,44,13,32
498,02/05/15,930,850,76,35,34,4
499,08/08/11,1450,1320,187,9,15,16
500,01/10/22,710,650,207,35,20,73
501,06/05/25,140,130,178,3,49,20
502,01/04/26,480,440,26,24,32,13
503,03/11/15,2170,1980,150,34,43,68
504,07/09/17,20,20,256,37,43,3
505,01/12/02,1030,940,75,23,49,53
506,04/06/11,790,720,68,49,31,53
507,01/11/10,1720,1570,51,38,36,52
508,04/07/24,450,410,376,24,34,50
509,04/06/24,1980,1800,304,46,11,65
510,06/03/18,1890,1720,383,47,27,76
511,08/12/13,2240,2040,308,42,27,33
512,08/06/25,1770,1610,330,19,17,42
513,09/11/12,460,420,147,9,8,11
514,09/12/04,1080,990,349,25,46,9
515,05/01/19,1930,1760,175,8,14,65
516,06/06/22,680,620,314,29,9,63
517,05/06/10,700,640,121,20,3,47
518,00/09/05,80,80,115,49,7,30
519,03/03/05,1870,1700,134,10,47,69
520,08/08/15,420,390,123,48,40,57
521,03/08/25,1500,1370,6,11,37,45
522,09/06/08,1910,1740,101,17,40,54
523,00/10/10,1910,1740,190,21,27,53
524,02/04/21,1300,1190,275,28,42,52
525,04/08/06,960,880,286,17,24,68
526,00/10/02,340,310,103,41,12,65
527,02/09/23,2070,1890,155,35,6,38
528,08/02/11,1270,1160,228,10,26,52
529,01/03/28,160,150,261,15,28,62
530,10/10/02,960,880,140,20,13,27
531,05/09/08,1450,1320,305,19,30,26
532,07/05/26,930,850,275,18,42,49
533,05/01/19,1920,1750,367,37,29,50
534,07/02/24,1620,1480,346,30,41,12
535,10/02/08,440,400,307,8,3,63
536,03/02/25,1870,1700,36,14,32,43
537,09/10/25,910,830,16,41,32,64
538,04/01/26,1330,1210,4,33,33,60
539,08/11/23,2130,1940,279,10,36,11
540,05/01/09,1170,1070,347,25,49,10
541,04/01/07,280,260,140,20,9,16
542,04/12/25,590,540,381,29,27,31
543,10/05/06,920,840,32,15,4,43
544,09/09/22,220,200,332,10,31,66
545,02/06/08,690,630,102,12,48,26
546,03/06/20,470,430,155,20,1,38
547,08/03/09,1330,1210,161,15,14,60
548,07/03/03,490,450,107,25,32,67
549,01/11/21,290,270,132,44,20,10
550,10/12/16,1360,1240,128,44,17,47
551,07/03/11,2170,1980,304,29,14,65
552,06/02/25,180,170,252,16,25,53
553,07/02/25,1500,1370,104,27,3,12
554,00/10/20,2120,1930,49,5,6,55
555,03/03/28,440,400,335,31,5,21
556,09/07/15,350,320,195,40,40,20
557,09/11/22,1680,1530,247,43,37,56
558,04/12/26,1010,920,226,50,10,62
559,06/11/13,1560,1420,259,37,22,2
560,03/06/09,530,490,339,7,41,1
561,05/04/04,850,780,358,24,26,10
562,06/05/06,1580,1440,119,2,5,72
563,10/08/26,1840,1680,32,47,37,22
564,08/03/04,1610,1470,114,19,28,66
565,03/11/08,1150,1050,87,28,21,18
566,06/02/13,2050,1870,4,46,32,54
567,06/02/18,860,790,138,3,2,47
568,06/01/28,1410,1290,370,29,26,16
569,00/09/21,1230,1120,319,6,50,9
570,09/02/22,1070,980,109,39,17,10
571,09/09/26,700,640,213,35,7,12
572,03/09/08,1360,1240,40,12,24,39
573,03/09/16,390,360,146,22,37,9
574,00/06/18,0,0,102,20,42,69
575,02/08/13,1670,1520,37,28,28,64
576,07/02/09,80,80,201,4,7,56
577,09/04/13,2160,1970,371,44,13,75
578,02/02/05,1140,1040,83,13,12,52
579,01/08/20,680,620,398,40,40,61
580,06/01/10,1490,1360,295,41,31,29
581,06/05/11,450,410,360,12,50,15
582,08/10/18,1110,1010,151,29,17,9
583,01/08/02,1680,1530,36,33,10,30
584,03/02/28,580,530,263,20,18,12
585,08/06/03,710,650,20,24,25,66
586,00/09/02,1990,1810,40,32,39,49
587,03/05/24,390,360,218,44,36,7
588,01/04/27,1980,1800,173,29,32,7
589,10/09/12,1580,1440,74,20,18,14
590,09/07/08,1390,1270,328,32,5,17
591,08/11/14,10,10,326,34,24,20
592,02/12/10,720,660,125,17,24,16
593,09/06/26,2130,1940,32,23,7,32
594,03/02/16,2090,1900,300,6,45,43
595,04/01/26,520,480,282,29,48,37
596,01/02/21,1900,1730,90,4,3,53
597,06/03/06,630,580,24,7,6,57
598,00/08/08,30,30,313,41,29,73
599,09/01/03,1110,1010,300,23,22,65
600,06/09/21,1540,1400,26,38,44,48
601,07/10/16,930,850,55,30,27,11
602,04/02/25,1040,950,289,5,17,58
603,02/08/11,360,330,46,28,17,2
604,03/07/17,350,320,240,12,42,43
605,00/07/23,1010,920,369,31,13,40
606,10/11/02,790,720,217,38,4,73
607,10/01/06,410,380,309,1,45,71
608,01/09/06,1560,1420,111,3,36,24
609,03/07/28,410,380,27,2,15,74
610,10/12/24,1260,1150,293,29,36,20
611,05/06/25,910,830,101,1,20,28
612,08/10/08,490,450,268,29,19,45
613,09/10/06,330,300,198,33,11,19
614,06/01/22,560,510,361,2,21,69
615,03/03/24,560,510,386,32,5,45
616,07/04/22,2180,1990,380,38,38,16
617,08/04/22,860,790,169,11,21,5
618,00/05/21,1350,1230,280,43,34,62
619,04/10/22,2050,1870,128,10,27,46
620,09/11/05,1370,1250,97,9,22,60
621,04/08/16,690,630,103,5,43,58
622,08/01/20,40,40,376,43,3,66
623,07/05/28,920,840,370,14,23,20
624,01/09/08,1910,1740,304,12,45,73
625,08/07/23,1830,1670,180,10,5,12
626,09/01/13,1660,1510,331,17,29,73
627,09/09/13,400,370,350,30,19,45
628,10/12/27,840,770,77,26,31,74
629,02/04/23,1340,1220,291,15,36,33
630,10/08/24,1560,1420,71,5,48,54
631,08/09/10,1050,960,311,2,30,50
632,07/08/16,860,790,252,43,17,41
633,03/01/09,1180,1080,346,30,32,44
634,10/11/02,260,240,270,39,5,19
635,01/06/10,1030,940,272,41,37,71
636,00/02/04,2010,1830,145,39,43,29
637,00/07/08,2030,1850,91,43,26,36
638,07/06/27,1540,1400,150,37,7,47
639,09/04/09,1250,1140,206,44,42,20
640,03/06/18,1250,1140,31,15,28,30
641,01/01/21,410,380,156,50,24,71
642,10/12/18,1470,1340,385,28,29,66
643,07/02/01,1730,1580,54,17,9,74
644,07/04/27,550,500,140,3,18,8
645,02/09/28,1110,1010,95,31,48,24
646,06/06/19,2040,1860,244,3,19,72
647,02/09/16,1500,1370,42,46,24,15
648,04/11/14,1560,1420,187,12,47,43
649,06/08/16,90,90,297,21,25,3
650,09/03/15,580,530,179,24,47,45
651,08/08/22,750,690,319,44,29,64
652,01/08/17,750,690,287,19,36,35
653,04/01/14,1440,1310,126,40,34,44
654,01/01/22,120,110,66,39,50,33
655,03/09/20,2290,2090,9,26,45,25
656,08/11/20,1440,1310,61,48,26,8
657,10/05/17,420,390,194,32,40,6
