"MAX(ID)","DATA_PRODUKCJI"
9945,09/09/12
9053,03/10/16
3641,02/10/05
7646,04/06/20
8498,00/01/27
9293,01/04/13
3499,08/10/05
9305,08/11/25
6163,08/11/10
4499,03/09/04
5128,01/08/08
6873,06/05/08
4225,01/11/14
9099,06/11/14
2357,02/07/06
8506,04/07/11
8541,08/04/21
5092,01/11/03
3857,04/09/28
8926,06/09/05
9119,01/12/03
9874,01/06/13
9872,09/12/15
9197,02/12/25
7134,07/02/05
2490,00/01/03
8761,08/06/01
9541,10/07/15
9570,08/12/18
7237,06/12/04
6303,08/09/02
7610,10/05/10
9906,09/03/21
9990,02/04/28
2557,04/08/17
6709,01/09/13
9384,06/02/20
9072,07/11/25
2630,05/02/08
8690,07/01/16
7760,01/01/16
9444,01/12/08
9943,02/05/01
9655,05/05/21
7949,03/07/21
8594,02/08/20
7518,09/04/16
9289,03/12/16
9366,10/11/14
9458,08/03/22
3017,04/02/11
7559,00/02/12
8296,07/10/12
4407,05/06/22
5654,07/05/13
8028,08/01/23
9903,05/03/03
8253,04/11/09
8681,02/10/23
8593,09/04/18
7889,03/02/07
7319,10/04/28
6786,08/05/02
8106,10/04/19
9296,05/12/21
7089,00/10/09
8921,02/03/17
8267,06/02/17
8533,00/03/27
6422,06/12/02
9808,03/10/17
6863,10/03/11
8544,01/09/07
8394,08/02/03
8781,07/09/20
9516,06/09/24
7633,01/06/01
6034,04/08/18
8330,09/08/04
8383,02/04/07
6961,01/03/17
3591,08/08/16
3609,01/02/11
5894,07/04/15
9605,07/01/06
3643,02/07/17
3676,01/02/23
9843,08/08/17
8122,04/05/15
8411,07/07/08
3877,04/10/17
7428,05/02/14
3899,09/04/24
8934,09/04/04
9229,10/02/06
6525,00/04/25
8128,08/06/27
6748,07/05/19
8316,06/05/10
7995,07/07/20
4040,07/04/12
7855,04/05/02
6040,06/12/10
7577,04/10/16
7424,04/07/01
8040,06/07/04
4170,09/11/17
6740,06/12/21
9967,00/03/19
7806,09/06/11
8346,10/12/15
6989,09/06/06
9594,07/07/07
8335,06/09/10
9136,06/10/07
4352,09/08/27
4360,01/06/28
7374,03/03/12
8614,00/04/09
6551,08/01/22
6746,05/05/08
9383,02/10/15
8239,09/12/08
5562,08/07/13
9992,10/08/18
4498,03/09/02
9392,04/07/19
9045,08/10/23
4614,02/10/09
8314,09/08/23
9566,08/09/21
5620,00/10/05
7560,06/11/23
4871,07/10/15
4910,08/03/21
9979,08/12/12
5926,04/07/27
6355,10/05/19
5593,05/12/09
5009,07/08/10
9510,05/05/26
6875,00/02/16
9511,02/07/25
6456,03/02/22
6648,01/11/28
7097,07/08/06
7488,04/03/11
5251,06/06/09
6384,09/02/21
9840,08/06/09
7564,06/09/19
7946,03/09/06
5462,01/07/18
6432,10/02/13
5601,05/09/09
7647,01/06/08
8766,00/02/14
8023,08/02/02
5723,09/06/04
6631,00/03/21
5899,06/03/26
9332,02/10/24
9050,03/12/12
6053,06/09/25
6108,04/07/14
9746,00/11/17
6125,03/11/22
6138,07/11/13
6172,01/01/28
9404,04/09/07
6198,07/09/21
9302,00/01/24
7832,08/06/24
8166,06/11/12
7849,05/03/27
7385,10/11/25
8868,01/10/27
6983,00/03/25
6726,07/08/23
8831,01/02/20
7010,02/04/18
7020,10/07/12
8515,04/07/17
7230,08/08/04
7244,03/10/08
9722,02/12/09
7287,09/09/21
7400,02/04/02
7916,09/01/08
9459,10/07/27
7656,01/10/23
8289,03/07/26
9759,03/12/26
7830,03/09/09
8601,10/07/19
9573,01/09/14
9932,02/09/14
8120,10/08/15
8306,06/06/10
8485,03/05/04
8486,02/03/15
8731,03/12/02
9066,08/09/08
9121,02/12/07
9134,04/03/25
9633,02/11/20
9455,07/10/04
9494,06/07/08
9502,02/02/01
9582,02/06/13
9611,01/04/20
9673,08/08/19
9721,07/02/03
9739,09/10/07
9927,07/03/26
9948,07/01/02
9951,07/01/15
8888,03/07/18
8212,09/01/24
1019,01/09/27
8424,10/03/12
9274,06/01/07
8233,01/10/08
6878,05/03/02
9138,06/09/15
5278,04/10/22
5354,01/11/10
9429,01/06/03
9210,05/04/15
8864,06/10/26
6974,09/07/15
7903,02/01/08
923,04/07/18
7420,09/06/13
3597,05/07/08
8307,09/01/12
7932,05/05/10
2115,09/07/22
8247,09/07/14
7516,02/12/08
8605,09/09/11
1705,04/06/16
6376,08/12/03
5287,07/08/28
9844,04/04/23
7822,08/01/17
8435,09/05/27
1821,03/10/26
9679,09/08/16
6885,09/10/25
8686,01/08/17
7394,04/06/17
8615,10/03/16
5052,09/03/01
9355,07/07/27
7816,01/12/23
8776,02/05/23
9448,03/03/17
5876,00/12/23
6139,09/04/03
9682,07/04/07
7638,06/09/28
8103,08/06/13
441,06/08/26
8317,02/05/15
6913,08/10/19
9635,05/05/02
6203,09/11/28
9584,07/09/17
7208,09/12/04
2246,05/01/19
8215,08/08/15
9280,00/10/10
2259,07/05/26
5096,10/05/06
9144,09/11/22
7866,03/11/08
5948,00/06/18
7814,03/07/17
9890,00/07/23
7156,09/03/15
8607,05/02/03
8139,05/12/15
4328,08/06/15
2346,00/02/17
9915,01/01/23
7599,05/06/17
9973,00/12/07
7976,10/08/14
7028,01/02/02
3868,02/12/20
8971,09/07/02
4824,06/05/14
7141,09/09/17
8386,05/11/26
2602,04/05/01
8397,01/05/16
9532,08/05/10
8975,02/04/11
5003,00/12/22
7626,04/02/07
5714,00/10/12
8379,06/05/28
1130,02/07/20
7078,09/12/23
9639,03/05/11
3330,08/06/26
6638,07/05/10
6367,05/09/10
8706,05/12/17
7854,01/01/07
9756,07/08/20
9140,07/04/08
941,04/03/02
4092,03/02/23
8576,09/01/28
956,00/12/08
8583,03/12/25
8298,09/05/17
8229,05/12/04
9495,02/01/15
6438,02/07/05
5972,05/12/07
7850,05/05/07
5969,05/08/06
6936,05/03/23
6007,10/03/02
7774,07/12/28
3505,07/10/06
9892,01/11/12
8913,06/10/15
2022,10/11/18
9757,06/10/22
7100,08/01/08
6905,00/06/22
3816,05/11/27
4977,04/09/17
1731,07/02/20
8696,05/05/24
9939,03/02/11
7093,00/05/09
5181,03/01/25
8928,04/11/13
7012,01/05/22
9589,00/11/19
8441,01/06/15
9955,02/10/18
6852,06/08/04
8952,09/04/20
8882,07/05/16
3403,05/02/26
8118,03/03/16
4599,03/10/15
9760,05/11/13
9471,07/10/24
1321,07/08/04
1343,06/11/10
4248,01/04/08
8398,08/01/06
8978,09/08/25
9959,02/06/17
1405,02/02/08
9491,10/11/20
5345,07/01/10
6129,05/06/08
9725,09/10/04
6679,01/06/16
1460,07/04/26
7114,02/01/04
8252,03/04/18
3771,10/04/06
8436,01/05/13
3933,05/10/13
3444,08/01/12
1509,05/04/13
7501,06/05/24
2825,04/05/04
8437,07/04/20
3114,01/04/12
9724,10/10/21
3572,09/07/17
6715,08/03/16
4765,06/02/28
8623,01/02/08
1648,04/07/02
4524,06/10/23
3186,10/12/17
4192,00/02/06
9408,10/10/18
7163,10/12/01
7602,06/08/28
8157,01/12/17
5638,04/02/24
7964,09/05/28
6628,02/08/25
5254,04/11/06
9454,06/08/13
8788,03/11/03
9062,09/09/01
7685,04/12/23
7720,06/03/14
6155,03/06/14
2974,05/04/02
8638,01/07/19
4800,07/10/02
6897,03/03/22
5799,03/10/07
9270,06/09/09
9554,08/09/18
6689,00/11/24
4934,09/06/28
1939,02/06/19
8542,08/08/10
1983,03/10/06
7986,06/01/03
8022,01/02/15
8287,08/10/16
7056,09/07/26
6058,07/10/25
9895,05/11/14
4283,08/05/22
8960,01/03/22
8065,09/10/09
5933,05/08/25
9742,02/01/26
2158,09/11/08
9048,06/05/23
8596,07/06/05
9213,06/12/15
9496,05/12/20
6392,09/12/14
9960,07/05/01
9678,00/04/20
2287,06/09/08
7933,09/03/05
8012,06/04/28
9130,08/03/26
3168,09/09/05
2336,09/06/10
2337,08/10/09
7969,07/08/27
7276,09/11/27
9161,00/05/10
7478,01/12/10
9891,00/02/20
5596,04/04/26
9086,04/06/04
2460,00/06/14
9729,00/12/10
2514,03/08/27
8985,02/03/21
2553,07/11/02
9105,02/07/08
4206,04/01/11
2633,09/03/18
8815,03/04/06
8184,00/04/05
7909,03/10/27
9146,03/04/04
6964,10/01/02
8582,02/08/19
6591,05/12/11
7733,07/09/07
8842,03/03/25
7125,00/09/08
9129,10/04/21
3126,08/02/10
7412,02/11/06
7528,10/11/28
7999,05/08/23
8911,03/12/20
7361,07/09/03
7215,05/06/03
3830,04/02/22
9015,07/03/08
9436,09/11/02
3898,04/12/21
9601,09/03/26
3001,08/04/18
8433,00/09/18
7359,05/05/04
3023,04/12/20
9989,00/05/25
6790,04/02/04
3465,06/02/26
4617,09/08/28
8759,05/04/05
3504,07/09/14
9810,04/11/03
9937,01/10/01
7363,00/03/05
7900,09/03/06
9391,08/06/04
4084,07/02/21
4258,02/03/03
4773,02/03/09
3224,07/08/19
6440,04/12/01
8000,08/02/25
9698,10/11/26
8480,05/12/08
5784,06/01/05
6519,04/11/10
8446,07/11/16
3373,01/07/20
9953,07/01/11
6458,06/10/17
8945,02/07/15
6446,07/10/18
6879,02/05/13
6327,05/07/01
9631,04/09/22
9051,09/04/01
7605,09/08/19
4370,02/02/14
9877,03/06/27
5657,05/08/21
9944,07/07/21
7376,07/03/19
5207,10/07/20
8556,08/03/12
3806,07/10/03
3878,07/01/05
3884,00/07/11
7150,02/07/26
5839,08/11/06
9301,06/07/02
6784,06/12/05
3965,05/12/18
7236,02/05/18
4013,08/07/02
4032,01/11/15
8760,07/02/18
9204,00/09/27
9260,10/10/10
4132,02/06/23
4166,03/10/28
9703,04/03/21
9677,09/02/19
8255,09/08/12
5767,03/11/10
9592,02/02/23
4320,06/06/14
4338,09/01/06
8481,01/04/03
4409,09/06/09
8979,10/10/08
4445,06/10/02
8698,01/10/02
4456,08/04/25
7492,01/01/05
9571,06/01/04
9199,06/07/13
7863,00/04/21
9287,05/09/06
7547,10/05/12
7594,05/10/14
6770,04/12/03
7149,03/04/24
9443,03/01/11
4656,08/04/20
9252,04/08/27
8795,05/01/21
7297,00/07/16
8136,06/06/03
8520,09/10/23
8460,00/06/02
6077,01/11/18
4959,05/12/12
9091,01/03/05
6924,04/01/27
7238,03/01/28
5015,07/10/21
5891,04/10/03
8241,07/02/26
7642,07/05/05
7606,01/04/24
5161,01/04/22
6296,06/07/24
6165,04/12/24
5201,07/01/22
8482,07/09/18
5261,09/07/21
7176,05/03/04
5330,03/09/28
5747,02/12/23
5371,09/03/22
5470,10/02/20
5481,00/05/22
5511,01/08/24
9446,00/09/09
5594,09/07/05
9791,09/06/21
7006,03/11/01
9254,10/05/11
9117,03/02/02
5828,05/12/26
8353,01/01/18
8010,10/05/28
7876,02/06/05
5996,05/02/27
8351,07/08/01
6112,07/09/22
7747,07/10/27
6362,07/09/11
9110,06/07/12
9412,10/04/01
6230,02/06/15
6246,08/07/16
6299,02/07/07
6322,02/07/09
6353,06/12/22
6473,02/08/09
8719,10/06/18
6544,02/12/17
8958,05/10/17
8281,06/11/17
6914,10/02/18
6725,07/12/07
9781,09/10/05
7622,09/09/06
9564,03/02/09
7043,05/01/01
7047,03/08/04
8661,03/04/05
9694,01/07/28
8127,10/05/14
9965,09/12/20
9194,06/02/15
7615,03/12/04
8203,08/07/08
7865,01/03/06
7669,05/03/01
8130,01/11/13
7745,08/09/03
8602,05/07/12
7853,07/12/17
8733,07/12/04
7896,07/01/13
8689,08/12/16
9201,06/09/27
9941,08/01/04
9063,01/01/01
8501,08/04/09
9019,07/05/24
8304,10/06/24
8305,05/06/21
8428,04/01/19
8566,00/06/23
9556,00/12/21
8586,05/03/20
9986,09/03/08
8654,09/07/09
8925,03/08/14
9816,04/04/19
9621,07/04/05
9212,00/08/25
9709,06/07/22
9460,06/04/25
9525,10/08/11
9597,03/02/13
9871,09/06/16
9814,10/01/18
9830,10/09/21
9865,02/07/16
9885,09/06/17
9977,07/05/12
9984,09/04/17
7144,03/03/05
6899,03/11/12
5004,07/07/15
9665,09/05/24
9337,06/11/09
8873,08/02/12
7234,03/08/28
1033,09/02/27
9268,03/06/25
8780,08/01/02
6724,07/06/02
5313,01/04/27
9542,10/08/27
8027,09/12/03
9235,04/03/03
124,06/07/09
9049,05/11/25
7836,01/01/21
9963,00/05/16
6981,03/09/05
6982,03/06/01
6849,06/09/26
3459,10/03/15
7339,01/03/07
8954,04/09/11
9489,07/12/05
1831,05/06/16
4613,00/12/19
8861,10/07/16
2946,03/02/06
9686,02/05/20
6543,03/04/21
9363,09/07/23
7164,04/03/22
8805,06/12/28
6731,10/03/09
324,09/05/15
328,03/08/23
9671,08/09/19
7220,10/04/16
7315,04/11/24
1669,02/02/17
8331,03/05/06
4106,02/10/12
3283,07/02/12
3690,04/01/17
3336,07/06/27
8195,10/09/26
2509,03/01/24
7892,06/06/24
478,08/01/01
487,10/06/09
7403,06/05/25
8276,04/06/24
4997,06/06/22
8613,05/06/10
9202,00/09/05
8961,08/03/09
8553,10/12/16
558,04/12/26
3299,08/11/14
9531,09/06/26
9154,06/03/06
4569,03/07/28
6668,10/12/18
765,05/01/16
9284,10/10/16
2515,07/07/22
8070,02/08/18
9700,03/03/10
7926,04/04/27
4619,10/12/02
8009,05/02/13
7481,04/05/16
755,05/05/14
7898,03/03/11
9061,02/10/13
9918,07/08/12
797,09/03/28
9169,02/03/04
6774,00/07/26
8704,08/01/14
6764,01/05/05
9803,08/07/22
9406,06/12/14
3595,04/08/02
5175,01/09/28
3413,09/04/22
6429,04/03/20
9407,08/04/14
7601,07/05/20
3406,06/06/20
9279,08/01/27
9637,09/06/24
6479,08/06/19
6870,10/12/14
3485,08/05/26
4077,00/01/08
8293,02/10/11
4798,08/06/06
9524,02/09/15
9769,02/10/20
9801,04/11/05
9940,03/04/12
6799,03/06/13
4294,09/09/09
4986,03/10/04
9376,03/09/01
7193,08/04/26
8100,02/04/14
6343,01/02/28
1092,08/02/26
7852,00/09/16
5061,01/03/08
1133,02/09/04
7768,07/06/18
6209,01/03/10
8347,06/06/25
6025,07/01/17
6800,01/11/19
4555,07/07/28
1215,02/05/19
6298,04/09/14
9539,09/04/02
1239,06/01/19
4846,06/08/12
8857,09/06/22
7135,04/04/11
6254,02/11/19
9348,08/05/01
8791,00/05/18
7018,08/01/05
9139,00/01/05
3178,00/12/26
7450,06/05/15
9417,08/08/14
9451,04/04/01
4121,08/12/19
9790,01/02/17
1359,04/12/10
9017,04/05/19
9771,05/09/22
8186,07/06/17
7927,03/06/22
4972,05/12/16
5396,02/11/09
5409,00/10/03
8647,07/07/16
9826,01/06/19
7779,04/08/12
1470,06/02/09
5018,08/05/25
9577,09/03/23
9290,08/12/10
8417,02/10/03
9625,05/04/03
9288,05/07/15
9613,00/08/11
9394,09/03/16
1618,01/02/06
8209,04/05/22
1556,03/06/11
3062,04/05/23
2117,06/06/01
8523,09/02/12
5585,04/10/14
8715,06/03/03
2119,06/12/20
9580,09/05/13
6752,03/07/27
1739,04/09/23
4797,05/07/10
1766,10/06/15
1886,05/08/17
1792,06/07/07
9883,03/04/07
5745,10/11/19
9820,03/05/03
9726,07/11/01
3861,04/06/19
1852,01/12/21
9021,04/02/18
7332,04/11/23
4914,00/07/21
9572,07/02/13
6988,00/09/07
8940,10/06/11
9189,10/05/18
6247,04/08/23
2009,04/02/12
8626,05/09/27
8585,07/03/04
4625,06/09/01
7784,06/04/17
2053,08/05/20
5801,02/11/18
7462,10/01/08
6630,08/03/06
9200,05/04/21
8182,03/12/18
8836,06/12/01
9413,06/04/06
7973,00/07/07
9649,00/03/16
7988,07/06/20
2190,02/07/11
7805,05/04/08
4060,02/09/19
6821,10/12/25
7446,09/09/07
8963,04/10/12
3655,09/04/26
8604,02/03/07
2321,08/03/27
5145,02/05/12
7393,03/03/14
3915,00/11/03
9798,06/04/02
4712,00/11/08
8361,04/12/15
3749,02/02/13
4965,05/06/15
4573,05/02/01
7395,02/08/03
8823,05/08/09
3873,02/06/11
7544,04/04/03
8101,00/07/06
5634,05/10/10
9905,03/10/12
2540,08/09/13
6021,00/11/26
8204,05/05/16
8067,00/01/26
7790,09/06/25
2710,05/01/27
8684,05/02/21
8999,10/02/14
8349,06/12/19
6308,03/09/25
6183,04/04/06
7857,04/09/05
7613,04/02/15
5541,10/04/10
9972,04/02/28
5448,00/12/03
2923,00/01/02
8213,01/10/13
7113,00/10/01
8750,06/03/07
9499,09/06/07
9923,10/01/04
3005,09/01/19
3008,05/04/27
9151,00/02/11
3077,08/10/20
3084,03/02/21
5208,10/08/16
9904,06/12/27
8707,03/06/28
3222,01/01/27
3247,02/11/04
9378,00/11/05
7005,05/10/12
9628,03/04/01
8700,04/08/01
3493,05/12/02
6910,00/03/04
3625,10/07/28
4284,03/12/05
7554,08/02/27
8531,09/06/23
4194,08/07/10
7281,10/06/01
9702,08/09/16
7689,08/05/15
5955,01/09/21
8189,10/02/07
7736,07/06/19
3564,03/03/04
6817,00/11/11
9283,06/04/04
9692,08/02/20
3657,06/07/15
3661,06/08/01
3669,10/02/02
3672,04/03/16
9543,05/08/05
6962,10/04/15
9241,01/09/16
8463,09/12/13
9294,08/06/14
3813,03/10/05
9445,07/02/08
7893,10/02/22
5455,10/03/22
8683,10/06/27
8804,02/08/26
9357,08/11/17
7996,06/11/04
8730,00/01/18
3951,08/03/02
9669,02/10/08
3989,01/10/15
4025,06/12/07
9176,06/04/09
6545,01/12/20
7614,03/03/23
9563,06/09/04
4086,10/04/18
7447,02/08/16
9113,08/01/26
4169,08/07/09
6747,00/12/05
7098,09/08/03
5695,04/07/04
4299,03/12/19
4329,05/01/25
7791,07/04/02
4362,04/03/13
5133,07/06/12
9084,03/04/10
6028,02/11/26
5435,08/02/15
4536,04/08/04
9680,06/10/01
6926,05/03/15
8419,08/01/28
4590,05/09/17
5221,02/09/07
9227,10/05/08
9137,00/04/11
8391,09/01/18
9220,04/07/08
4709,09/02/28
4727,07/07/04
4743,00/05/13
7744,05/08/28
9271,02/02/15
6490,03/05/05
6541,06/11/25
5980,01/04/14
4876,10/03/19
9664,07/03/10
4894,07/04/14
4921,10/02/10
4922,08/12/17
8557,06/01/21
8619,00/07/22
5085,02/12/18
5134,09/09/18
7653,05/04/16
5187,02/07/03
6224,08/05/24
5252,01/05/02
5281,00/04/02
6056,03/02/24
8513,08/10/01
5376,07/06/15
8363,03/03/03
5512,01/01/02
6371,02/12/13
6684,07/10/17
5660,06/04/13
8571,02/04/04
6753,10/05/09
7313,05/11/07
9834,04/10/23
5831,07/02/10
9030,05/12/25
9946,05/03/21
8382,02/02/12
5931,03/12/09
5941,07/06/25
7443,02/10/19
6024,05/03/10
9160,07/08/09
6118,08/04/12
6120,04/06/09
8942,04/09/24
6179,10/04/13
6192,08/04/06
8185,09/02/13
7218,00/02/10
7515,09/12/09
8742,09/09/02
8736,08/06/20
6561,07/04/18
6572,03/09/17
6650,05/02/04
6714,00/02/05
6744,04/10/13
8354,00/09/14
8924,09/05/06
7117,10/04/11
7119,07/06/07
7148,03/03/20
7165,02/06/04
7298,04/08/09
8641,09/06/02
7408,03/07/04
7989,04/03/26
7426,09/07/18
9517,06/04/11
9486,03/05/27
8049,01/02/19
7683,08/05/05
8964,01/05/12
8041,04/10/19
8094,02/06/24
9836,00/12/27
8522,05/04/01
8592,07/06/22
8603,01/10/12
8657,05/11/20
8771,08/04/16
8785,10/03/05
8839,07/11/03
8892,00/03/18
8908,01/12/19
9863,01/05/28
8988,09/10/18
9118,09/08/26
9193,05/04/12
9374,01/12/13
9477,06/02/21
9514,05/06/13
9587,03/07/20
9876,03/04/02
9681,08/10/25
9911,03/04/28
9718,05/03/12
7378,04/11/25
7448,10/10/24
3994,01/09/22
9799,09/10/21
2100,04/02/20
8885,03/02/04
6418,09/01/01
7808,07/01/26
9256,09/11/26
8107,09/11/04
127,07/05/03
9919,02/09/05
9838,10/06/04
8499,06/09/21
5073,00/07/25
8678,10/06/14
9782,06/01/27
9717,04/10/05
3155,04/12/28
8336,04/11/14
9985,00/08/27
6050,06/09/23
4300,01/10/11
5589,04/04/14
8158,00/08/08
6828,07/10/13
7824,08/03/04
9490,03/05/12
242,00/07/13
9512,01/04/26
7331,08/07/05
7780,03/11/14
7128,06/01/02
8187,05/10/11
8728,05/03/24
7261,10/12/19
5917,10/01/06
6767,05/08/07
8851,08/06/08
9465,04/02/27
5250,00/05/15
9727,09/12/28
683,07/05/08
8154,10/05/23
5397,01/09/19
6201,02/02/28
9917,00/08/09
6894,05/11/24
9659,07/09/13
4843,01/04/05
7809,04/11/22
420,07/01/25
7620,10/06/06
8443,09/10/02
8565,05/04/22
450,01/11/16
453,06/02/05
9536,09/11/06
3579,05/11/01
5337,08/08/03
9067,01/09/09
483,00/05/08
2574,01/10/22
7398,03/11/15
1678,01/12/02
9219,06/03/18
511,08/12/13
9403,05/04/04
3703,06/02/18
2210,09/09/26
7596,07/02/09
8859,03/02/28
8011,00/09/02
5190,10/08/24
1780,08/09/10
3602,00/02/04
8266,02/09/28
3197,08/11/20
7402,10/05/17
8562,05/01/07
5237,10/08/09
7729,04/09/06
9651,06/10/04
3916,06/03/01
7469,01/11/04
8832,08/12/20
8693,05/09/05
2713,09/10/10
8156,08/03/20
795,06/12/26
2885,00/10/08
822,07/06/26
9162,09/11/15
2177,07/02/19
7124,03/08/12
867,03/07/25
4286,01/09/20
7351,00/06/01
6716,02/01/25
6000,10/10/22
6923,06/02/07
8503,04/01/28
6945,03/02/01
4072,00/06/11
7918,03/12/13
4415,01/08/19
3712,05/11/15
9069,05/03/26
7819,07/04/21
5417,08/04/28
7496,00/05/12
6276,10/08/21
2664,00/08/06
8786,01/08/13
9079,03/08/13
1088,03/03/13
4731,10/05/25
3682,03/09/13
9809,08/12/05
1120,06/08/07
6763,05/09/24
7739,05/02/18
1150,05/07/07
8134,08/11/07
8881,01/12/28
7086,02/04/08
9730,02/09/08
2350,09/07/25
7517,06/06/26
6265,10/07/04
5922,05/02/10
7476,10/11/07
7485,02/03/14
6993,07/10/10
8393,07/10/07
6168,10/07/05
8907,02/04/13
9715,00/08/24
9244,06/02/04
7058,10/03/25
8457,08/05/08
6956,02/06/22
8536,00/01/22
9842,08/04/15
4341,00/12/17
5496,07/09/01
9614,05/11/23
9776,01/12/27
9452,10/10/14
5640,10/11/08
3070,01/05/01
9622,07/07/09
9342,10/05/22
1603,08/07/15
6348,01/08/06
4968,02/03/08
7637,07/05/11
7965,00/10/06
9841,07/06/08
8448,08/10/02
8509,04/08/05
8496,02/05/27
8256,08/09/17
8112,10/03/10
3055,09/01/11
8389,05/07/11
7044,10/05/26
8372,10/01/26
5694,05/11/06
6477,07/08/05
5500,01/03/13
4432,10/07/10
1927,01/02/25
3532,03/04/03
7352,07/10/20
3841,08/10/14
3869,04/06/10
9329,10/11/24
8401,04/12/14
2655,08/07/17
8667,04/11/19
6091,00/09/23
2058,10/01/03
8595,06/10/09
4526,00/07/15
2090,04/03/18
4297,08/06/23
8487,03/06/19
8110,05/05/18
9464,01/03/21
7279,01/11/06
9000,02/02/10
8369,07/01/12
6667,08/02/22
9217,06/05/02
8997,01/11/05
2283,00/09/20
9402,04/02/05
9737,00/11/18
4110,01/08/16
4070,09/10/12
7415,07/04/25
3539,08/11/02
9081,00/03/20
5678,07/01/23
7627,00/02/21
5727,00/10/14
2439,03/07/12
8713,07/12/27
9749,05/11/18
7649,06/03/23
6389,05/04/09
5997,01/10/05
8668,10/08/20
9839,08/12/11
4674,03/06/03
9938,08/02/16
9908,10/09/06
2604,06/11/19
9689,03/10/20
7255,01/07/12
4779,06/11/16
9449,05/03/05
2654,01/11/22
8310,10/01/16
6486,10/07/25
3203,10/02/24
4966,10/06/17
9141,10/12/03
9001,08/04/19
7336,06/03/19
2745,03/10/18
9393,00/04/12
4954,00/12/02
8551,01/08/09
8450,10/09/04
5686,09/12/22
2819,04/10/08
7555,04/02/14
9764,08/06/07
9750,10/03/03
7391,06/07/16
8497,04/01/05
8747,10/09/20
3103,01/04/28
2978,02/06/21
9778,03/08/21
7108,06/04/01
4435,07/07/14
8745,07/01/21
3063,04/09/13
3153,05/10/02
9361,07/02/17
9924,00/02/09
6153,03/03/18
8013,10/06/23
8718,03/06/23
4728,02/02/21
8679,06/05/18
8898,08/02/19
3897,10/01/10
3295,00/12/24
9747,02/08/10
6889,02/09/06
9912,06/02/02
6375,05/01/13
9653,05/03/16
9958,01/09/03
7629,10/12/09
9907,05/06/09
4902,00/04/17
5202,00/05/26
3512,05/06/24
6564,02/05/10
7379,08/06/16
3541,01/09/18
5401,04/04/10
6965,07/02/04
5220,00/12/04
9478,09/08/06
6772,01/05/03
7841,07/08/25
9792,08/12/26
9074,08/10/13
9040,08/11/21
