"ID","ID_ODDZIAL","ID_PRACOWNIK","ID_KLIENT","ID_DATA_PRODUKCJI","ID_PRODUCENT","ID_DATA_SPRZEDAZY","MIASTO_KLIENTA","MIASTO_SPRZEDAZY","RODZAJ_INSTRUMENTU","PLATNOSC","NAZWA_INSTRUMENTU","NUMER_ZAMOWIENIA","CENA","KOSZT"
82,45,45,27,4917,9,205,"Radom","Częstochowa","Uderzane","Gotówka","Fortepian",205,50,50
83,47,47,28,8591,38,78,"Bielsko-Biała","Włocławek","Elektryczne smyczkowe","Credit Agricole Przelew","Skrzypce Elektryczne",78,2110,1920
84,41,41,16,9736,1,129,"Bytom","Koszalin","Strunowe Szarpane","Getin Noble Bank Blik","Cytra",129,2060,1880
85,16,16,35,5278,12,209,"Elbląg","Białystok","Strunowe Szarpane","Alior Bank Przelew","Mandolina",209,1600,1460
86,45,45,22,86,23,229,"Gdańsk","Częstochowa","Strunowe Szarpane","Euro Bank Blik","Lutnia",229,2040,1860
87,31,31,29,8006,4,219,"Toruń","Kalisz","Strunowe Szarpane","BOŚ Przelew","Ukulele",219,2110,1920
88,6,6,17,6724,15,316,"Rzeszów","Gdańsk","Strunowe Szarpane","Santander BP Przelew","Harfa",316,670,610
89,32,32,36,89,50,161,"Kalisz","Kalisz","Dęte klawiszowe","Citi Handlowy Blik","Akordeon",141,380,350
90,47,47,2,1354,20,281,"Wrocław","Włocławek","Perkusyjne pytowe","BOŚ Blik","Talerze",281,1800,1640
91,42,42,50,9090,18,89,"Chorzów","Zielona Góra","Elektryczne smyczkowe","Gotówka","Wiolonczela Elektryczna",89,1790,1630
92,19,19,39,5354,35,110,"Dąbrowa Górnicza","Poznań","Perkusyjne pytowe","Santander BP Blik","Gong",110,270,250
93,1,1,34,9983,20,163,"Lublin","Zabrze","Dawne smyczkowe","TMUB Przelew","Skrzypki Renesansowe",163,850,780
94,22,22,16,9131,28,45,"Bytom","Koszalin","Dęte drewniane","ING Bank Śląski Przelew","Flet Piccolo",45,270,250
95,6,6,31,8993,4,172,"�?ódź","Gdańsk","Regionalne smyczkowe","ING Bank Śląski Blik","Basetla",172,880,800
96,44,44,44,9429,47,297,"Włocławek","Zielona Góra","Perkusyjne metalowe","TMUB Blik","Czelestra",297,930,850
97,44,44,7,8858,2,40,"Szczecin","Zielona Góra","Perkusyjne sztabkowe drewniane","Euro Bank Przelew","Ksylofon",40,1250,1140
98,16,16,4,9974,7,309,"Wałbrzych","Białystok","Perkusyjne sztabkowe drewniane","Citi Handlowy Blik","Marimba",309,1710,1560
99,34,34,35,5521,34,264,"Elbląg","Szczecin","Strunowe Szarpane","Citi Handlowy Blik","Lira",264,1990,1810
100,7,7,47,512,2,259,"Bydgoszcz","Zabrze","Strunowe Szarpane","Bank Millenium Przelew","Gitara Klasyczna",259,1580,1440
101,36,36,6,7080,9,112,"Radom","Białystok","Uderzane","Credit Agricole Przelew","Fortepian",112,2200,2000
102,23,23,44,5739,30,245,"Włocławek","Ruda Śląska","Strunowe Szarpane","Credit Agricole Blik","Banjo",245,1360,1240
103,50,50,31,103,29,353,"�?ódź","Rzeszów","Strunowe Szarpane","Credit Agricole Przelew","Kobza",353,1300,1190
104,20,20,45,5313,4,190,"Poznań","Kraków","Perkusyjne metalowe","Citi Handlowy Przelew","Czelestra",190,1160,1060
105,42,42,21,9256,45,271,"Bydgoszcz","Zielona Góra","Strunowe Szarpane","Plus Bank Blik","Kora",271,220,200
106,22,22,31,8629,22,353,"�?ódź","Koszalin","Elektryczne smyczkowe","Credit Agricole Przelew","Wiolonczela Elektryczna",353,1540,1400
107,30,30,26,8107,22,363,"Poznań","Toruń","Dęte blaszane","ING Bank Śląski Blik","Helikon",363,1520,1390
108,28,28,49,8088,5,303,"Sosnowiec","Chorzów","Uderzane","PKO BP Przelew","Cymbały",303,1230,1120
109,28,28,50,9542,32,104,"Chorzów","Chorzów","Dęte blaszane","Plus Bank Przelew","Trąbka Sygnałowa",104,1440,1310
110,45,45,17,9210,39,316,"Rzeszów","Częstochowa","Perkusyjne metalowe","Santander BP Przelew","Czelestra",316,1000,910
111,18,18,5,8334,17,90,"Toruń","Płock","Dęte blaszane","Credit Agricole Przelew","Sakshorn",90,1910,1740
112,5,5,25,9262,15,122,"Lublin","Tarnów","Perkusyjne membranowe","Alior Bank Blik","Kotły ",122,1850,1690
113,42,42,49,8864,5,49,"Sosnowiec","Zielona Góra","Uderzane","Bank Millenium Blik","Keyboard ",49,1490,1360
114,3,3,34,7583,5,348,"Lublin","�?ódź","Dęte drewniane","Plus Bank Blik","Kontrafagot",348,1390,1270
115,36,36,31,8404,12,353,"�?ódź","Białystok","Dęte drewniane","Credit Agricole Przelew","Flet Poprzeczny",353,520,480
116,23,23,45,780,34,3,"Poznań","Ruda Śląska","Strunowe Szarpane","Alior Bank Blik","Ukulele",3,2170,1980
117,47,47,12,8027,31,269,"Lublin","Włocławek","Elektryczne smyczkowe","Plus Bank Blik","Wiolonczela Elektryczna",269,1230,1120
118,48,48,31,9235,33,227,"�?ódź","Lublin","Perkusyjne metalowe","Gotówka","Wibrafon",227,1570,1430
119,7,7,49,6974,28,374,"Sosnowiec","Zabrze","Dęte drewniane","Euro Bank Przelew","Flet Piccolo",374,1930,1760
120,11,11,8,7903,30,30,"Gliwice","Kalisz","Dęte klawiszowe","PKO BP Przelew","Organy",30,590,540
121,41,41,41,9087,46,79,"Wrocław","Koszalin","Uderzane","BOŚ Blik","Pianino",79,110,100
122,48,48,8,122,27,391,"Gliwice","Lublin","Dawne smyczkowe","Plus Bank Przelew","Viola deamore",391,2050,1870
123,2,2,35,9701,49,235,"Elbląg","Wałbrzych","Strunowe Szarpane","Citi Handlowy Przelew","Mandolina",235,2150,1960
124,43,43,31,124,42,63,"�?ódź","Kraków","Dęte blaszane","TMUB Blik","Trąbka Sygnałowa",63,1020,930
125,11,11,7,3738,42,157,"Szczecin","Kalisz","Dęte blaszane","Banek Pekao Przelew","Tuba",157,2100,1910
126,29,29,21,6943,48,106,"Bydgoszcz","Poznań","Klasyczne smyczkowe","Banek Pekao Blik","Skrzypce",106,140,130
127,31,31,34,127,49,214,"Lublin","Kalisz","Klasyczne smyczkowe","Credit Agricole Blik","Skrzypce",214,2220,2020
128,10,10,27,923,38,394,"Radom","Bydgoszcz","Strunowe Szarpane","Alior Bank Blik","Klawesyn",394,280,260
129,31,31,50,9919,14,89,"Chorzów","Kalisz","Dawne smyczkowe","Gotówka","Skrzypce Barokowe",89,2180,1990
130,5,5,41,9838,17,145,"Wrocław","Tarnów","Perkusyjne inne","Bank Millenium Blik","Kastaniety",145,2180,1990
131,48,48,25,8854,3,233,"Lublin","Lublin","Strunowe Szarpane","Plus Bank Przelew","Ukulele",233,2200,2000
132,30,30,47,8149,50,354,"Bydgoszcz","Toruń","Dęte drewniane","ING Bank Śląski Przelew","Obój",354,910,830
133,13,13,46,9852,28,152,"Wrocław","Częstochowa","Strunowe Szarpane","ING Bank Śląski Blik","Bandżola",152,1190,1090
134,7,7,30,9658,29,64,"Płock","Zabrze","Dawne smyczkowe","PKO BP Przelew","Skrzypce Barokowe",64,1170,1070
135,41,41,48,7420,34,105,"Wrocław","Koszalin","Dawne smyczkowe","Plus Bank Przelew","Viola da Gamba",105,1060,970
136,43,43,36,7243,46,161,"Kalisz","Kraków","Dęte drewniane","Citi Handlowy Blik","Flet Piccolo",141,1540,1400
137,16,16,39,6851,46,363,"Dąbrowa Górnicza","Białystok","Klasyczne smyczkowe","TMUB Blik","Altówka",350,1910,1740
138,1,1,10,9697,49,203,"Tychy","Zabrze","Strunowe Szarpane","BOŚ Blik","Kobza",203,280,260
139,42,42,42,5998,24,186,"Częstochowa","Zielona Góra","Perkusyjne sztabkowe drewniane","Credit Agricole Blik","Ksylofon",186,710,650
140,32,32,50,9650,45,189,"Chorzów","Kalisz","Perkusyjne metalowe","TMUB Przelew","Dzwonki",189,140,130
141,36,36,35,8499,46,243,"Elbląg","Białystok","Strunowe Szarpane","mBank Przelew","Ukulele",223,1270,1160
142,16,16,12,5073,46,358,"Lublin","Białystok","Strunowe Szarpane","Alior Bank Blik","Ukulele",358,1470,1340
143,26,26,6,8678,31,112,"Radom","Gorzów Wielkopolski","Dawne smyczkowe","Credit Agricole Przelew","Suka Biłgorajska",112,520,480
144,27,27,37,9049,18,312,"Sosnowiec","Zielona Góra","Perkusyjne pytowe","Credit Agricole Blik","Talerze",312,630,580
145,43,43,50,8474,30,143,"Chorzów","Kraków","Strunowe Szarpane","TMUB Przelew","Gitara Klasyczna",143,1850,1690
146,2,2,38,6499,27,21,"Bydgoszcz","Wałbrzych","Elektryczne smyczkowe","Plus Bank Przelew","Skrzypce Elektryczne",21,1820,1660
147,17,17,34,8549,10,367,"Lublin","Radom","Strunowe Szarpane","TMUB Blik","Harfa",367,710,650
148,10,10,39,9102,23,128,"Dąbrowa Górnicza","Bydgoszcz","Perkusyjne membranowe","Citi Handlowy Przelew","Bębny",128,2000,1820
149,1,1,28,2475,28,114,"Bielsko-Biała","Zabrze","Klasyczne smyczkowe","TMUB Przelew","Wiolonczela",114,1290,1180
150,7,7,32,7836,13,91,"Poznań","Zabrze","Dęte drewniane","Plus Bank Blik","Saksofon",91,450,410
151,6,6,26,7375,47,363,"Poznań","Gdańsk","Dęte drewniane","ING Bank Śląski Blik","Klarnet",363,1850,1690
152,31,31,50,7031,35,330,"Chorzów","Kalisz","Strunowe Szarpane","Bank Millenium Przelew","Shamisen",330,930,850
153,42,42,34,4006,46,348,"Lublin","Zielona Góra","Strunowe Szarpane","Plus Bank Blik","Shamisen",348,970,890
154,20,20,14,9963,45,158,"Kielce","Kraków","Elektryczne smyczkowe","Bank Millenium Przelew","Altówka Elektryczna",158,2070,1890
155,3,3,19,3597,42,8,"Wrocław","�?ódź","Dęte drewniane","ING Bank Śląski Przelew","Kontrafagot",8,480,440
156,26,26,1,1071,2,74,"Ruda Śląska","Gorzów Wielkopolski","Uderzane","mBank Blik","Klawikord",74,2240,2040
157,5,5,16,9763,10,129,"Bytom","Tarnów","Dawne smyczkowe","Getin Noble Bank Blik","Lira da Braccio",129,1920,1750
158,35,35,41,8307,41,145,"Wrocław","Katowice","Perkusyjne metalowe","Bank Millenium Blik","Wibrafon",145,890,810
159,6,6,32,9767,50,249,"Poznań","Gdańsk","Dęte blaszane","PKO BP Przelew","Trąbka",249,1950,1780
160,8,8,33,9070,6,100,"Zabrze","Białystok","Strunowe Szarpane","Bank Millenium Blik","Bałałajka",100,460,420
161,43,43,29,9788,2,276,"Toruń","Kraków","Perkusyjne membranowe","PKO BP Blik","Kotły ",276,230,210
162,2,2,41,9785,10,135,"Wrocław","Wałbrzych","Strunowe Szarpane","Citi Handlowy Blik","Banjo",135,1920,1750
163,20,20,15,6330,34,84,"Radom","Kraków","Dęte blaszane","Santander BP Przelew","Kornet",84,1410,1290
164,40,40,36,7932,44,252,"Kalisz","Gliwice","Strunowe Szarpane","Santander BP Przelew","Kora",252,1910,1740
165,50,50,35,9782,38,235,"Elbląg","Rzeszów","Strunowe Szarpane","Citi Handlowy Przelew","Klawesyn",235,1900,1730
166,23,23,21,2115,17,5,"Bydgoszcz","Ruda Śląska","Strunowe Szarpane","BOŚ Przelew","Lira",5,670,610
167,27,27,37,5530,16,155,"Sosnowiec","Zielona Góra","Strunowe Szarpane","TMUB Przelew","Ukulele",155,680,620
168,1,1,49,8990,6,102,"Sosnowiec","Zabrze","Strunowe Szarpane","Bank Millenium Blik","Lutnia",102,890,810
169,34,34,14,6959,42,56,"Kielce","Szczecin","Dawne smyczkowe","TMUB Blik","Viola deamore",56,1070,980
170,1,1,4,3325,29,192,"Wałbrzych","Zabrze","Dęte blaszane","Gotówka","Trąbka",192,1760,1600
171,3,3,35,8247,40,68,"Elbląg","�?ódź","Dęte drewniane","PKO BP Przelew","Flet Prosty",68,40,40
172,43,43,42,172,37,389,"Częstochowa","Kraków","Dęte blaszane","Plus Bank Przelew","Helikon",389,90,90
173,41,41,25,8315,21,176,"Lublin","Koszalin","Perkusyjne metalowe","Getin Noble Bank Blik","Dzwonki",176,590,540
174,24,24,27,6981,46,314,"Radom","Koszalin","Perkusyjne metalowe","Bank Millenium Blik","Czelestra",314,1940,1770
175,44,44,35,7516,43,81,"Elbląg","Zielona Góra","Strunowe Szarpane","Credit Agricole Przelew","Ukulele",81,1110,1010
176,46,46,2,3461,2,159,"Wrocław","Kraków","Perkusyjne metalowe","mBank Blik","Wibrafon",159,1220,1110
177,47,47,16,6982,19,72,"Bytom","Włocławek","Strunowe Szarpane","Bank pocztowy Blik","Bałałajka",72,270,250
178,4,4,28,5354,42,280,"Bielsko-Biała","Tychy","Strunowe Szarpane","BNP Parbias Blik","Ukulele",280,1010,920
179,4,4,49,9717,27,183,"Sosnowiec","Tychy","Perkusyjne pytowe","Getin Noble Bank Przelew","Talerze",183,2100,1910
180,2,2,35,7936,3,262,"Elbląg","Wałbrzych","Perkusyjne metalowe","Bank Millenium Przelew","Dzwonki",262,80,80
181,11,11,37,181,24,210,"Sosnowiec","Kalisz","Dęte drewniane","Gotówka","Kontrafagot",210,1470,1340
182,16,16,45,6849,47,190,"Poznań","Białystok","Perkusyjne membranowe","Citi Handlowy Przelew","Kotły ",190,330,300
183,8,8,16,9156,35,234,"Bytom","Białystok","Perkusyjne inne","Euro Bank Blik","Klekotka",234,910,830
184,3,3,6,2537,26,112,"Radom","�?ódź","Strunowe Szarpane","Credit Agricole Przelew","Klawesyn",112,1980,1800
185,5,5,1,3155,19,131,"Ruda Śląska","Tarnów","Dęte klawiszowe","Credit Agricole Blik","Akordeon",131,1820,1660
186,16,16,4,6008,37,192,"Wałbrzych","Białystok","Perkusyjne pytowe","Gotówka","Gong",192,2040,1860
187,47,47,45,8605,2,190,"Poznań","Włocławek","Perkusyjne metalowe","Citi Handlowy Przelew","Czelestra",190,910,830
188,23,23,38,9859,47,399,"Bydgoszcz","Ruda Śląska","Dęte blaszane","BNP Parbias Przelew","Puzon",399,130,120
189,37,37,41,1705,27,335,"Wrocław","Płock","Elektryczne smyczkowe","Credit Agricole Przelew","Kontrabas Elektryczny",335,1960,1790
190,30,30,35,8336,21,81,"Elbląg","Toruń","Uderzane","Credit Agricole Przelew","Pianino",81,2160,1970
191,7,7,49,6992,35,247,"Sosnowiec","Zabrze","Perkusyjne sztabkowe drewniane","BOŚ Przelew","Ksylofon",247,770,700
192,32,32,19,3459,31,8,"Wrocław","Kalisz","Perkusyjne metalowe","ING Bank Śląski Przelew","Czelestra",8,1930,1760
193,22,22,2,193,4,281,"Wrocław","Koszalin","Dęte drewniane","BOŚ Blik","Fagot",281,590,540
194,15,15,6,194,23,279,"Radom","Zielona Góra","Perkusyjne sztabkowe drewniane","Credit Agricole Przelew","Marimba",279,150,140
195,8,8,20,1799,21,217,"Lublin","Białystok","Elektryczne smyczkowe","BNP Parbias Blik","Kontrabas Elektryczny",217,530,490
196,47,47,8,9277,36,352,"Gliwice","Włocławek","Strunowe Szarpane","BOŚ Przelew","Tar",352,1110,1010
197,28,28,47,9670,6,103,"Bydgoszcz","Chorzów","Strunowe Szarpane","TMUB Blik","Banjo",103,1430,1300
198,31,31,20,9985,22,325,"Lublin","Kalisz","Perkusyjne inne","ING Bank Śląski Przelew","Pudełka Akustyczne",325,1140,1040
199,46,46,6,7339,33,279,"Radom","Kraków","Strunowe Szarpane","Credit Agricole Przelew","Shamisen",279,1010,920
200,8,8,48,2674,22,105,"Wrocław","Białystok","Uderzane","Plus Bank Przelew","Fortepian",105,200,190
201,27,27,4,9766,27,44,"Wałbrzych","Zielona Góra","Uderzane","Credit Agricole Blik","Pianino",44,1450,1320
202,12,12,14,9665,50,254,"Kielce","Poznań","Strunowe Szarpane","Santander BP Blik","Klawesyn",254,120,110
203,33,33,12,8764,38,359,"Lublin","Kalisz","Klasyczne smyczkowe","Bank pocztowy Blik","Wiolonczela",359,1730,1580
204,5,5,41,6050,33,135,"Wrocław","Tarnów","Dęte drewniane","Citi Handlowy Blik","Fagot",135,2060,1880
205,26,26,31,6513,18,283,"�?ódź","Gorzów Wielkopolski","Perkusyjne pytowe","Euro Bank Blik","Talerze",283,2120,1930
206,17,17,38,7434,9,375,"Bydgoszcz","Radom","Perkusyjne prętowe","ING Bank Śląski Blik","Trójkąt",375,1140,1040
207,42,42,29,2875,27,267,"Toruń","Zielona Góra","Uderzane","Plus Bank Blik","Klawikord",267,1950,1780
208,15,15,25,4300,45,176,"Lublin","Zielona Góra","Perkusyjne inne","Getin Noble Bank Blik","Kastaniety",176,950,870
209,46,46,27,6376,42,314,"Radom","Kraków","Strunowe Szarpane","Bank Millenium Blik","Kora",314,1650,1500
210,38,38,1,5287,22,133,"Ruda Śląska","Toruń","Dęte drewniane","TMUB Blik","Flet Poprzeczny",133,1840,1680
211,10,10,16,5589,29,345,"Bytom","Bydgoszcz","Klasyczne smyczkowe","Alior Bank Blik","Altówka",345,820,750
212,40,40,15,8954,2,263,"Radom","Gliwice","Dęte blaszane","Banek Pekao Przelew","Róg (Waltornia)",263,920,840
